"Girokonto";"DE00000000000000000001"
"Zeitraum:";"01.02.2026 - 28.02.2026"
"Kontostand vom 20.04.2026:";"42.187,63 €"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"09.02.26";"09.02.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 07.02.2026";"Ausgang";"DE00000000000000000020"; "-42,13";"";"";"000000000000000"
"09.02.26";"09.02.26";"Gebucht";"Max Mustermann                                                   Musterort 0000";"ONLINE SHOP PAYMENTS EUROPE S.C.A.";"000-0000000-0000000 ONLN Mktp DE 0000000000000000";"Ausgang";"DE00000000000000000080";"-24";"DE00ZZZ00000000000";"00a0000b000c.000000d00";"0000000000000000"
"09.02.26";"09.02.26";"Gebucht";"Max Mustermann";"Maria und Hans Muster";"Kfz";"Ausgang";"DE00000000000000000160";"-376";"";"";""
"05.02.26";"05.02.26";"Gebucht";"ISSUER";"Tankstelle.Ort/Ort17";"VISA Debitkartenumsatz vom 04.02.2026";"Ausgang";"DE00000000000000000020"; "-9,04";"";"";"000000000000000"
"05.02.26";"05.02.26";"Gebucht";"ISSUER";"Mensa.ArbG.Muster/Ort12";"VISA Debitkartenumsatz vom 04.02.2026";"Ausgang";"DE00000000000000000020"; "-20";"";"";"000000000000000"
"05.02.26";"05.02.26";"Gebucht";"Bundeskasse - Musterort -";"Max Mustermann";"Kfz-Steuer Erstattung";"Eingang";"DE00000000000000000170";"376";"";"";"00000000-0000-0000000-000000000000"
"04.02.26";"04.02.26";"Gebucht";"ISSUER";"Supermarkt.Muster/Ort18";"VISA Debitkartenumsatz vom 03.02.2026";"Ausgang";"DE00000000000000000020"; "-35,79";"";"";"000000000000000"
"03.02.26";"03.02.26";"Gebucht";"ISSUER";"Tankstelle.Muster/Ort14";"VISA Debitkartenumsatz vom 01.02.2026";"Ausgang";"DE00000000000000000020"; "-118,50";"";"";"000000000000000"
"03.02.26";"03.02.26";"Gebucht";"Max Mustermann";"Haustechnik Muster";"000000";"Ausgang";"DE00000000000000000120";"-91,15";"";"";""
"03.02.26";"03.02.26";"Gebucht";"Max Mustermann";"Energieversorber GmbH";"Strom - Abschlag Februar 2026 M00000000000";"Ausgang";"DE00000000000000000070";"-114";"DE00ZZZ00000000000";"MUSTER0000000000000000";"00000000"
"03.02.26";"03.02.26";"Gebucht";"MAX MUSTERMANN";"Mustermann und.Max";"Teilzahlung Darlehen";"Ausgang";"DE00000000000000000098";"-1.873,33";"DE00ZZZ00000000000";"0000000000D00000000000000000001";""
"02.02.26";"02.02.26";"Gebucht";"ISSUER";"Streaming.Abo/Ort19";"VISA Debitkartenumsatz";"Ausgang";"DE00000000000000000020"; "-2,99";"";"";"000000000000000"
"02.02.26";"02.02.26";"Gebucht";"ISSUER";"Supermarkt.K/Ort5";"VISA Debitkartenumsatz vom 31.01.2026";"Ausgang";"DE00000000000000000020"; "-103,18";"";"";"000000000000000"
"02.02.26";"02.02.26";"Gebucht";"ISSUER";"Streaming.Filme/Ort19";"VISA Debitkartenumsatz";"Ausgang";"DE00000000000000000020"; "-2,99";"";"";"000000000000000"
"02.02.26";"02.02.26";"Gebucht";"ISSUER";"Gasthaus.Muster/Ort20";"VISA Debitkartenumsatz vom 31.01.2026";"Ausgang";"DE00000000000000000020"; "-68";"";"";"000000000000000"
"02.02.26";"02.02.26";"Gebucht";"ISSUER";"Baumarkt.M/Ort5";"VISA Debitkartenumsatz vom 31.01.2026";"Ausgang";"DE00000000000000000020"; "-33,83";"";"";"000000000000000"
"02.02.26";"02.02.26";"Gebucht";"ISSUER";"Tankstelle.Ort/Ort21";"VISA Debitkartenumsatz vom 31.01.2026";"Ausgang";"DE00000000000000000020"; "-12,24";"";"";"000000000000000"
"02.02.26";"02.02.26";"Gebucht";"Mustermann, Max";"Kindergarten Musterstadt e.V.";"Elternbeitrag Kind 1";"Ausgang";"DE00000000000000000030";"-130";"DE00ZZZ00000000000";"00/00/0An0";""
"02.02.26";"02.02.26";"Gebucht";"Mustermann Max";"Sportverein Musterstadt e.V.";"Fuer Max - Sportverein Beitrag - fuer MandantID";"Ausgang";"DE00000000000000000180";"-110";"DE00ZZZ00000000000";"0000";"000000"
"02.02.26";"02.02.26";"Gebucht";"Max Mustermann";"Anna Musterfrau";"";"Ausgang";"DE00000000000000000050";"-1.000";"";"";""
