"Girokonto";"DE00000000000000000001"
"Zeitraum:";"01.03.2026 - 31.03.2026"
"Kontostand vom 21.04.2026:";"42.187,63 €"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"13.03.26";"13.03.26";"Gebucht";"Max Mustermann";"Energieversorber GmbH";"Strom - Jahresabrechnung R0000000000 M00000000000";"Ausgang";"DE00000000000000000070";"-287,74";"DE00ZZZ00000000000";"MUSTER0000000000000000";"00000000"
"11.03.26";"11.03.26";"Gebucht";"ISSUER";"Baumarkt.AG/Ort8";"VISA Debitkartenumsatz vom 10.03.2026";"Ausgang";"DE00000000000000000020";"-2.331,75";"";"";"000000000000000"
"11.03.26";"11.03.26";"Gebucht";"Max Mustermann";"Anna Musterfrau";"";"Ausgang";"DE00000000000000000050";"-1.000";"";"";""
"09.03.26";"09.03.26";"Gebucht";"ISSUER";"Supermarkt.Muster/Ort9";"VISA Debitkartenumsatz vom 07.03.2026";"Ausgang";"DE00000000000000000020";"-81,40";"";"";"000000000000000"
"09.03.26";"09.03.26";"Gebucht";"ISSUER";"Apotheke.Muster/Ort9";"VISA Debitkartenumsatz vom 08.03.2026";"Ausgang";"DE00000000000000000020";"-17,45";"";"";"000000000000000"
"09.03.26";"09.03.26";"Gebucht";"ISSUER";"Discount.Muster/Ort10";"VISA Debitkartenumsatz vom 06.03.2026";"Ausgang";"DE00000000000000000020";"-9,69";"";"";"000000000000000"
"09.03.26";"09.03.26";"Gebucht";"ISSUER";"Bäckerei.GmbH/Ort10";"VISA Debitkartenumsatz vom 06.03.2026";"Ausgang";"DE00000000000000000020"; "-14,70";"";"";"000000000000000"
"09.03.26";"09.03.26";"Gebucht";"ISSUER";"Baumarkt.M/Ort5";"VISA Debitkartenumsatz vom 06.03.2026";"Ausgang";"DE00000000000000000020";"-115,16";"";"";"000000000000000"
"09.03.26";"09.03.26";"Gebucht";"Max Mustermann                                                   Musterstr. 2,";"Hosting Provider GmbH";"Customer No. K0000000000 Invoice No. 000000000000";"Ausgang";"DE00000000000000000040";"-22,28";"DE00ZZZ00000000000";"000000000000";"000000000000"
"06.03.26";"06.03.26";"Gebucht";"ISSUER";"Bäckerei.Muster/Ort3";"VISA Debitkartenumsatz vom 05.03.2026";"Ausgang";"DE00000000000000000020"; "-6,80";"";"";"000000000000000"
"06.03.26";"06.03.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 05.03.2026";"Ausgang";"DE00000000000000000020";"-37,69";"";"";"000000000000000"
"06.03.26";"06.03.26";"Gebucht";"Max Mustermann                                                   Musterort 0000";"ONLINE SHOP EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND";"000-0000000-0000000 OnlineShop 0000000000000000";"Ausgang";"DE00000000000000000080";"-169,95";"DE00ZZZ00000000000";"00a0000b000c.000000d00";"0000000000000000"
"05.03.26";"05.03.26";"Gebucht";"Max Mustermann";"Landtechnik Muster";"00000";"Ausgang";"DE00000000000000000090";"-66,76";"";"";"00000"
"05.03.26";"05.03.26";"Gebucht";"ISSUER";"Arztpraxis.Muster/Ort5";"VISA Debitkartenumsatz vom 04.03.2026";"Ausgang";"DE00000000000000000020";"-65";"";"";"000000000000000"
"05.03.26";"05.03.26";"Gebucht";"ISSUER";"Restaurant.Muster/Ort11";"VISA Debitkartenumsatz vom 04.03.2026";"Ausgang";"DE00000000000000000020";"-84,06";"";"";"000000000000000"
"05.03.26";"05.03.26";"Gebucht";"Max Mustermann";"Telekom Anbieter GmbH                                                   Anbieter-Strasse 1";"Einmalige Aufladung fuer Ihr Prepaid-Konto 0000000000000-0000. Anbieter sagt DANKE";"Ausgang";"DE00000000000000000095";"-30";"DE00ZZZ00000000000";"T00000000000000000000000";"0000000000"
"04.03.26";"04.03.26";"Gebucht";"Max Mustermann";"Wasserversorber Musterstadt";"00/000000/000/000";"Ausgang";"DE00000000000000000096";"-484,36";"";"";""
"04.03.26";"04.03.26";"Gebucht";"Max Mustermann";"Werkstatt Muster GmbH";"00/0000";"Ausgang";"DE00000000000000000097";"-19.385,10";"";"";""
"03.03.26";"03.03.26";"Gebucht";"ISSUER";"Sparkasse.Ort/Ort9";"VISA Debitkartenumsatz vom 02.03.2026";"Ausgang";"DE00000000000000000020"; "-50";"";"";"000000000000000"
"03.03.26";"03.03.26";"Gebucht";"Max Mustermann";"Energieversorber GmbH";"Strom - Abschlag Maerz 2026 M00000000000";"Ausgang";"DE00000000000000000070";"-114";"DE00ZZZ00000000000";"MUSTER0000000000000000";"00000000"
"03.03.26";"03.03.26";"Gebucht";"MAX MUSTERMANN";"Mustermann und.Max";"Teilzahlung Darlehen";"Ausgang";"DE00000000000000000098";"-1.873,33";"DE00ZZZ00000000000";"0000000000D00000000000000000001";""
"02.03.26";"02.03.26";"Gebucht";"ISSUER";"Bäckerei.Muster/Ort7";"VISA Debitkartenumsatz vom 01.03.2026";"Ausgang";"DE00000000000000000020";"-10,30";"";"";"000000000000000"
"02.03.26";"02.03.26";"Gebucht";"ISSUER";"Discount.Danke/Ort12";"VISA Debitkartenumsatz vom 27.02.2026";"Ausgang";"DE00000000000000000020"; "-15,07";"";"";"000000000000000"
