"Girokonto";"DE00000000000000000001"
"Zeitraum:";"01.01.2026 - 31.01.2026"
"Kontostand vom 20.04.2026:";"42.187,63 €"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"26.01.26";"26.01.26";"Gebucht";"ISSUER";"Volksbank.Ort/Ort7";"VISA Debitkartenumsatz vom 25.01.2026";"Ausgang";"DE00000000000000000020"; "-1.000";"";"";"000000000000000"
"26.01.26";"26.01.26";"Gebucht";"ISSUER";"Baumarkt.M/Ort5";"VISA Debitkartenumsatz vom 23.01.2026";"Ausgang";"DE00000000000000000020"; "-76,55";"";"";"000000000000000"
"23.01.26";"23.01.26";"Gebucht";"ONLINE SHOP PAYMENTS EUROPE S.C.A.                                         DE";"Max Mustermann                                                   CH";"000-0000000-0000000 ONLN Mktp DE 0000000000000000";"Eingang";"DE00000000000000000080";"44";"";"";"0000000000000000"
"23.01.26";"23.01.26";"Gebucht";"ISSUER";"Tankstelle.Ort/Ort21";"VISA Debitkartenumsatz vom 22.01.2026";"Ausgang";"DE00000000000000000020"; "-5,94";"";"";"000000000000000"
"23.01.26";"23.01.26";"Gebucht";"ISSUER";"Discount.Muster/Ort10";"VISA Debitkartenumsatz vom 22.01.2026";"Ausgang";"DE00000000000000000020"; "-7,22";"";"";"000000000000000"
"22.01.26";"22.01.26";"Gebucht";"Max Mustermann                                                   Musterstr. 1,";"Hosting Provider GmbH";"Kundennummer: K0000000000 Rechnungsnummer: 000000000000";"Ausgang";"DE00000000000000000040";"-12,96";"DE00ZZZ00000000000";"M-C0000000000-0000";"00000000000"
"21.01.26";"21.01.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 20.01.2026";"Ausgang";"DE00000000000000000020"; "-58,52";"";"";"000000000000000"
"20.01.26";"20.01.26";"Gebucht";"ISSUER";"Tankstelle.Ort/Ort21";"VISA Debitkartenumsatz vom 19.01.2026";"Ausgang";"DE00000000000000000020"; "-7,54";"";"";"000000000000000"
"20.01.26";"20.01.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 19.01.2026";"Ausgang";"DE00000000000000000020"; "-5,95";"";"";"000000000000000"
"20.01.26";"20.01.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 19.01.2026";"Ausgang";"DE00000000000000000020"; "-4,74";"";"";"000000000000000"
"19.01.26";"19.01.26";"Gebucht";"ISSUER";"Supermarkt.K/Ort5";"VISA Debitkartenumsatz vom 17.01.2026";"Ausgang";"DE00000000000000000020"; "-134,04";"";"";"000000000000000"
"19.01.26";"19.01.26";"Gebucht";"ISSUER";"Sparkasse.Ort/Ort23";"VISA Debitkartenumsatz vom 17.01.2026";"Ausgang";"DE00000000000000000020"; "-50";"";"";"000000000000000"
"19.01.26";"19.01.26";"Gebucht";"Max Mustermann                                                   Musterstr. 1 00000 Musterstadt";"Telekom Anbieter GmbH";"Festnetz Vertragskonto 0000000000 RG 0000000000/08.01.2026";"Ausgang";"DE00000000000000000060";"-47,95";"DE00ZZZ00000000000";"DE000000000000000000000000000000000";"Zahlbeleg 000000000000"
"19.01.26";"17.01.26";"Gebucht";"Musterbank AG";"Musterbank AG";"Rechnung MUSTERBANK AG Entgelt Girokarte für 2026/KartNr.******0000 Max Mustermann 00000000-00000-00000000000";"Ausgang";"0000000000";"-11,88";"";"";""
"16.01.26";"16.01.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 15.01.2026";"Ausgang";"DE00000000000000000020"; "-43,78";"";"";"000000000000000"
"15.01.26";"15.01.26";"Gebucht";"ISSUER";"Tankstelle.Muster/Ort14";"VISA Debitkartenumsatz vom 13.01.2026";"Ausgang";"DE00000000000000000020"; "-118";"";"";"000000000000000"
"15.01.26";"15.01.26";"Gebucht";"ISSUER";"Tankstelle.Ort/Ort7";"VISA Debitkartenumsatz vom 14.01.2026";"Ausgang";"DE00000000000000000020"; "-28,90";"";"";"000000000000000"
"12.01.26";"12.01.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 10.01.2026";"Ausgang";"DE00000000000000000020"; "-27,74";"";"";"000000000000000"
"12.01.26";"12.01.26";"Gebucht";"ISSUER";"Supermarkt.K/Ort5";"VISA Debitkartenumsatz vom 09.01.2026";"Ausgang";"DE00000000000000000020"; "-81,74";"";"";"000000000000000"
"12.01.26";"12.01.26";"Gebucht";"ISSUER";"Baumarkt.M/Ort5";"VISA Debitkartenumsatz vom 09.01.2026";"Ausgang";"DE00000000000000000020"; "-138,55";"";"";"000000000000000"
"09.01.26";"09.01.26";"Gebucht";"ISSUER";"Volksbank.Ort/Ort15";"VISA Debitkartenumsatz vom 09.01.2026";"Ausgang";"DE00000000000000000020"; "-350";"";"";"000000000000000"
"09.01.26";"09.01.26";"Gebucht";"ISSUER";"Streaming.Premium/Ort19";"VISA Debitkartenumsatz";"Ausgang";"DE00000000000000000020"; "-6";"";"";"000000000000000"
"09.01.26";"09.01.26";"Gebucht";"Max Mustermann";"Bundeskasse";"Kfz-Steuer fuer MU AB 1234 fuer die Zeit vom 09.01.2026 bis zum 08.01.2027 Kassenzeichen K000000000000";"Ausgang";"DE00000000000000000170";"-386";"DE00ZZZ00000000000";"KFZFK000000000000000000";"K000000000000/000000/00ZVS00F"
"09.01.26";"09.01.26";"Gebucht";"Max Mustermann                                                   Musterstr. 2,";"Hosting Provider GmbH";"Customer No. K0000000000 Invoice No. 000000000000";"Ausgang";"DE00000000000000000040";"-22,28";"DE00ZZZ00000000000";"000000000000";"000000000000"
"08.01.26";"08.01.26";"Gebucht";"Maria und Hans Muster";"Max Mustermann";"Kfz";"Eingang";"DE00000000000000000160";"386";"";"";""
"08.01.26";"08.01.26";"Gebucht";"Max Mustermann";"Firma Muster";"00-00000-00";"Ausgang";"DE00000000000000000190";"-17.772,53";"";"";"000"
"08.01.26";"08.01.26";"Gebucht";"Max Mustermann                                                   Musterort 0000";"ONLINE SHOP PAYMENTS EUROPE S.C.A.";"000-0000000-0000000 ONLN Mktp DE 0000000000000000";"Ausgang";"DE00000000000000000080";"-44";"DE00ZZZ00000000000";"00a0000b000c.000000d00";"0000000000000000"
"07.01.26";"07.01.26";"Gebucht";"Max Mustermann                                                   Musterort 0000";"ONLINE SHOP PAYMENTS EUROPE S.C.A.";"000-0000000-0000000 ONLN Mktp DE 0000000000000000";"Ausgang";"DE00000000000000000080";"-18,98";"DE00ZZZ00000000000";"00a0000b000c.000000d00";"0000000000000000"
"06.01.26";"06.01.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 05.01.2026";"Ausgang";"DE00000000000000000020"; "-20,62";"";"";"000000000000000"
"06.01.26";"06.01.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 05.01.2026";"Ausgang";"DE00000000000000000020"; "-2,99";"";"";"000000000000000"
"05.01.26";"05.01.26";"Gebucht";"Max Mustermann";"Fritz Weber";"00000000000";"Ausgang";"DE00000000000000000195";"-93,46";"";"";"0-0-00"
"05.01.26";"05.01.26";"Gebucht";"ISSUER";"Bäckerei.Muster/Ort7";"VISA Debitkartenumsatz vom 04.01.2026";"Ausgang";"DE00000000000000000020"; "-23,05";"";"";"000000000000000"
"05.01.26";"05.01.26";"Gebucht";"ISSUER";"Supermarkt.K/Ort5";"VISA Debitkartenumsatz vom 02.01.2026";"Ausgang";"DE00000000000000000020"; "-59,73";"";"";"000000000000000"
"05.01.26";"05.01.26";"Gebucht";"ISSUER";"Kino.Muster/Ort10";"VISA Debitkartenumsatz vom 03.01.2026";"Ausgang";"DE00000000000000000020"; "-33,30";"";"";"000000000000000"
"05.01.26";"05.01.26";"Gebucht";"ISSUER";"Baumarkt.Danke/Ort11";"VISA Debitkartenumsatz vom 03.01.2026";"Ausgang";"DE00000000000000000020"; "-75,78";"";"";"000000000000000"
"05.01.26";"05.01.26";"Gebucht";"ISSUER";"Sparkasse.Ort/Ort9";"VISA Debitkartenumsatz vom 03.01.2026";"Ausgang";"DE00000000000000000020"; "-100";"";"";"000000000000000"
"05.01.26";"05.01.26";"Gebucht";"ISSUER";"Parkhaus.Muster/Ort10";"VISA Debitkartenumsatz vom 03.01.2026";"Ausgang";"DE00000000000000000020"; "-16";"";"";"000000000000000"
"05.01.26";"05.01.26";"Gebucht";"ISSUER";"Kino.Multiplex/Ort24";"VISA Debitkartenumsatz vom 03.01.2026";"Ausgang";"DE00000000000000000020"; "-22";"";"";"000000000000000"
"05.01.26";"05.01.26";"Gebucht";"Max Mustermann";"Energieversorber GmbH";"Strom - Abschlag Januar 2026 M00000000000";"Ausgang";"DE00000000000000000070";"-122";"DE00ZZZ00000000000";"MUSTER0000000000000000";"00000000"
"05.01.26";"05.01.26";"Gebucht";"Max Mustermann";"Rundfunkgeber ARD, ZDF, Dradio";"000000000";"Ausgang";"DE00000000000000000196";"-220,32";"";"";""
"02.01.26";"02.01.26";"Gebucht";"Max Mustermann";"Hans Berger";"00-000-00000000-00";"Ausgang";"DE00000000000000000197";"-61,15";"";"";""
"02.01.26";"02.01.26";"Gebucht";"Max Mustermann";"Wasserversorber Musterstadt";"00/000000/000/000";"Ausgang";"DE00000000000000000096";"-60";"";"";"Muster Musterstr. 1"
"02.01.26";"02.01.26";"Gebucht";"ISSUER";"Streaming.Entertainment/Ort19";"VISA Debitkartenumsatz";"Ausgang";"DE00000000000000000020"; "-2,99";"";"";"000000000000000"
"02.01.26";"02.01.26";"Gebucht";"ISSUER";"Streaming.Filme.Abo/Ort19";"VISA Debitkartenumsatz";"Ausgang";"DE00000000000000000020"; "-2,99";"";"";"000000000000000"
"02.01.26";"02.01.26";"Gebucht";"MAX MUSTERMANN";"Mustermann und.Max";"Teilzahlung Darlehen";"Ausgang";"DE00000000000000000098";"-1.873,33";"DE00ZZZ00000000000";"0000000000D00000000000000000001";""
