"Girokonto";"DE00000000000000000001"
"Zeitraum:";"01.04.2026 - 20.04.2026"
"Kontostand vom 20.04.2026:";"42.187,63 €"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"13.04.26";"13.04.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 10.04.2026";"Ausgang";"DE00000000000000000020"; "-30,35";"";"";"000000000000000"
"13.04.26";"13.04.26";"Gebucht";"ISSUER";"Tankstelle.Muster/Ort9";"VISA Debitkartenumsatz vom 09.04.2026";"Ausgang";"DE00000000000000000020"; "-16,22";"";"";"000000000000000"
"10.04.26";"10.04.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort9";"VISA Debitkartenumsatz vom 09.04.2026";"Ausgang";"DE00000000000000000020"; "-21,13";"";"";"000000000000000"
"10.04.26";"10.04.26";"Gebucht";"Max Mustermann                                                   Musterort 0000";"ONLINE SHOP PAYMENTS EUROPE S.C.A.";"000-0000000-0000000 ONLN Mktp DE 0000000000000000";"Ausgang";"DE00000000000000000080";"-15,99";"DE00ZZZ00000000000";"00a0000b000c.000000d00";"0000000000000000"
"10.04.26";"10.04.26";"Gebucht";"Max Mustermann                                                   Musterort 0000";"ONLINE SHOP PAYMENTS EUROPE S.C.A.";"000-0000000-0000000 ONLN Mktp DE 0000000000000000";"Ausgang";"DE00000000000000000080";"-149";"DE00ZZZ00000000000";"00a0000b000c.000000d00";"0000000000000000"
"10.04.26";"10.04.26";"Gebucht";"Max Mustermann                                                   Musterstr. 2,";"Hosting Provider GmbH";"Customer No. K0000000000 Invoice No. 000000000000";"Ausgang";"DE00000000000000000040";"-22,28";"DE00ZZZ00000000000";"000000000000";"000000000000"
"08.04.26";"08.04.26";"Gebucht";"ISSUER";"Lebensmittel.Muster/Ort3";"VISA Debitkartenumsatz vom 07.04.2026";"Ausgang";"DE00000000000000000020"; "-35,56";"";"";"000000000000000"
"08.04.26";"08.04.26";"Gebucht";"Max Mustermann";"Energieversorber GmbH";"Strom - Abschlag April 2026 M00000000000";"Ausgang";"DE00000000000000000070";"-114";"DE00ZZZ00000000000";"MUSTER0000000000000000";"00000000"
"07.04.26";"07.04.26";"Gebucht";"ISSUER";"Supermarkt.Muster/Ort5";"VISA Debitkartenumsatz vom 02.04.2026";"Ausgang";"DE00000000000000000020"; "-84,89";"";"";"000000000000000"
"07.04.26";"07.04.26";"Gebucht";"ISSUER";"Supermarkt.K/Ort5";"VISA Debitkartenumsatz vom 02.04.2026";"Ausgang";"DE00000000000000000020"; "-53,06";"";"";"000000000000000"
"07.04.26";"07.04.26";"Gebucht";"ISSUER";"Tankstelle.Muster/Ort14";"VISA Debitkartenumsatz vom 04.04.2026";"Ausgang";"DE00000000000000000020"; "-172,52";"";"";"000000000000000"
"07.04.26";"07.04.26";"Gebucht";"ISSUER";"Mühle.GmbH/Ort9";"VISA Debitkartenumsatz vom 02.04.2026";"Ausgang";"DE00000000000000000020"; "-65,85";"";"";"000000000000000"
"02.04.26";"02.04.26";"Gebucht";"ISSUER";"Baumarkt.Danke/Ort11";"VISA Debitkartenumsatz vom 01.04.2026";"Ausgang";"DE00000000000000000020"; "-62,83";"";"";"000000000000000"
"01.04.26";"01.04.26";"Gebucht";"Peter Müller";"Max Mustermann";"Kfz";"Eingang";"DE00000000000000000100";"300";"";"";""
"01.04.26";"01.04.26";"Gebucht";"ISSUER";"Bäckerei.GmbH/Ort10";"VISA Debitkartenumsatz vom 31.03.2026";"Ausgang";"DE00000000000000000020"; "-8,65";"";"";"000000000000000"
"01.04.26";"01.04.26";"Gebucht";"ISSUER";"Discount.Muster/Ort10";"VISA Debitkartenumsatz vom 31.03.2026";"Ausgang";"DE00000000000000000020"; "-31,97";"";"";"000000000000000"
"01.04.26";"01.04.26";"Gebucht";"MAX MUSTERMANN";"Mustermann und.Max";"Teilzahlung Darlehen";"Ausgang";"DE00000000000000000098";"-1.873,33";"DE00ZZZ00000000000";"0000000000D00000000000000000001";""
"01.04.26";"01.04.26";"Gebucht";"Max Mustermann";"Anna Musterfrau";"";"Ausgang";"DE00000000000000000050";"-1.000";"";"";""
"01.04.26";"01.04.26";"Gebucht";"Musterbank AG";"Musterbank AG";"Abrechnung 31.03.2026 siehe Anlage Abrechnung 31.03.2026 Information zur Abrechnung Kontostand am 31.03.2026                                       45.060,96 + Abrechnungszeitraum vom 01.01.2026 bis 31.03.2026 Abrechnung 31.03.2026                                                0,00+ Sollzinssätze am 30.03.2026  3,9100 v.H. für eingeräumte Kontoüberziehung (aktuell eingeräumte Kontoüberziehung         500,00)  3,9100 v.H. für geduldete Kontoüberziehung über die eingeräumte Kontoüberziehung hinaus Kontostand/Rechnungsabschluss am 31.03.2026                    45.060,96 + Rechnungsnummer: 00000000-00000-00000000000";"Eingang";"0000000000";"0";"";"";""
